Dataset,Beam-ACOTime(s),Beam-ACO(Makespan)
rc_201.1.txt,0.01,592.06
rc_201.2.txt,0.39,860.17
rc_201.3.txt,0.09,853.71
rc_201.4.txt,0.16,889.18
rc_202.1.txt,0.95,850.48
rc_202.2.txt,0.01,338.52
rc_202.3.txt,0.26,894.1
rc_202.4.txt,1.18,853.71
rc_203.1.txt,0.01,488.42
rc_203.2.txt,4.05,853.71
rc_203.3.txt,20.47,921.54
rc_203.4.txt,0.01,338.52
rc_204.1.txt,24.79,925.12
rc_204.2.txt,22.46,691.58
rc_204.3.txt,19.15,456.19
rc_205.1.txt,0.03,417.81
rc_205.2.txt,3.44,820.19
rc_205.3.txt,0.13,950.05
rc_205.4.txt,1.7,837.71
rc_206.1.txt,0.01,117.85
rc_206.2.txt,14.22,879.17
rc_206.3.txt,0.01,650.59
rc_206.4.txt,29.44,920.18
rc_207.1.txt,26.88,820.23
rc_207.2.txt,24.21,720.78
rc_207.3.txt,34.73,757.8
rc_207.4.txt,0.01,133.14
rc_208.1.txt,41.96,820.88
rc_208.2.txt,8.5,581.32
rc_208.3.txt,26.67,691.66
