Dataset,Distance,Beam-ACO(Makespan),Makespan,Fitness,Time_ms,TimeLimit_s,Iterations,StopReason
rc_201.1.txt,444.54,592.06,592.06,444.5425,60001,60,19548,TIME_LIMIT
rc_201.2.txt,711.54,860.17,869.9,711.5374,60002,60,7027,TIME_LIMIT
rc_201.3.txt,795.44,853.71,854.12,795.4379,60019,60,4510,TIME_LIMIT
rc_201.4.txt,768.62,889.18,889.18,778.6225,60002,60,6877,TIME_LIMIT
rc_202.1.txt,787.08,850.48,863.96,787.0767,60003,60,7994,TIME_LIMIT
rc_202.2.txt,304.14,338.52,342.2,304.1418,60001,60,20943,TIME_LIMIT
rc_202.3.txt,839.58,894.1,904.48,839.5764,60018,60,5658,TIME_LIMIT
rc_202.4.txt,807.32,853.71,859.73,807.321,60013,60,5690,TIME_LIMIT
rc_203.1.txt,476.22,488.42,615.04,476.21584,60011,60,11125,TIME_LIMIT
rc_203.2.txt,788.04,853.71,854.12,788.9669,60000,60,3891,TIME_LIMIT
rc_203.3.txt,825.7,921.54,956.34,831.2237,60005,60,3251,TIME_LIMIT
rc_203.4.txt,376.84,338.52,501.81,376.8397,60001,60,13244,TIME_LIMIT
rc_204.1.txt,1046.34,925.12,1046.34,7170.17927,60007,60,2172,TIME_LIMIT
rc_204.2.txt,723.25,691.58,853.97,723.24924,60002,60,4150,TIME_LIMIT
rc_204.3.txt,466.3,456.19,694.25,466.2986,60012,60,7334,TIME_LIMIT
rc_205.1.txt,348.38,417.81,417.81,351.2567,60000,60,15492,TIME_LIMIT
rc_205.2.txt,737.17,820.19,842.13,745.4161,60012,60,7110,TIME_LIMIT
rc_205.3.txt,916.94,950.05,973.98,1065.0536,60003,60,3730,TIME_LIMIT
rc_205.4.txt,734.4,837.71,867.13,754.0962,60003,60,5639,TIME_LIMIT
rc_206.1.txt,117.85,117.85,117.85,117.8479,60002,60,44492,TIME_LIMIT
rc_206.2.txt,828.06,879.17,917.26,828.0591,60004,60,3249,TIME_LIMIT
rc_206.3.txt,583.36,650.59,661.07,583.3624,60012,60,6546,TIME_LIMIT
rc_206.4.txt,862.9,920.18,930.09,862.8967,60009,60,2855,TIME_LIMIT
rc_207.1.txt,797.39,820.23,858.48,797.3876,60005,60,4048,TIME_LIMIT
rc_207.2.txt,701.25,720.78,735.56,701.25114,60001,60,5627,TIME_LIMIT
rc_207.3.txt,760.97,757.8,907.68,760.9653,60002,60,4196,TIME_LIMIT
rc_207.4.txt,119.64,133.14,133.14,119.6388,60000,60,44473,TIME_LIMIT
rc_208.1.txt,921.82,820.88,930.76,921.82454,60040,60,2852,TIME_LIMIT
rc_208.2.txt,598.98,581.32,639.18,598.9798,60000,60,6506,TIME_LIMIT
rc_208.3.txt,664.82,691.66,765.92,664.8153,60001,60,9988,TIME_LIMIT
