Dataset,Distance,Makespan,Fitness,Time_ms,TimeLimit_s,Iterations,StopReason
rc_201.1.txt,466.23,592.06,466.227500,10,0.01,15,TIME_LIMIT
rc_201.2.txt,711.54,869.90,711.537400,390,0.39,416,TIME_LIMIT
rc_201.3.txt,856.47,886.80,856.470300,90,0.09,71,TIME_LIMIT
rc_201.4.txt,793.64,889.18,793.635200,46,0.16,49,EARLY_STOP
rc_202.1.txt,820.40,921.47,820.397400,953,0.95,780,TIME_LIMIT
rc_202.2.txt,381.13,517.96,381.129500,10,0.01,20,TIME_LIMIT
rc_202.3.txt,933.27,985.20,1441.179100,260,0.26,253,TIME_LIMIT
rc_202.4.txt,831.75,853.71,974.875100,47,1.18,46,EARLY_STOP
rc_203.1.txt,492.58,651.77,492.584400,10,0.01,17,TIME_LIMIT
rc_203.2.txt,832.18,854.12,841.776500,4050,4.05,3347,TIME_LIMIT
rc_203.3.txt,816.46,959.65,822.059900,20470,20.47,14701,TIME_LIMIT
rc_203.4.txt,426.30,596.19,426.304600,10,0.01,19,TIME_LIMIT
rc_204.1.txt,881.52,950.36,881.522570,24790,24.79,13738,TIME_LIMIT
rc_204.2.txt,700.98,846.20,700.982900,22460,22.46,19099,TIME_LIMIT
rc_204.3.txt,466.30,694.25,466.298600,19150,19.15,23079,TIME_LIMIT
rc_205.1.txt,376.94,417.81,387.531100,0,0.03,0,EARLY_STOP
rc_205.2.txt,737.17,842.13,745.416100,3440,3.44,3711,TIME_LIMIT
rc_205.3.txt,879.76,962.23,890.426900,130,0.13,105,TIME_LIMIT
rc_205.4.txt,734.40,867.13,754.096200,1700,1.70,1662,TIME_LIMIT
rc_206.1.txt,117.85,117.85,117.847900,6,0.01,0,EARLY_STOP
rc_206.2.txt,836.18,885.69,836.180600,14220,14.22,9875,TIME_LIMIT
rc_206.3.txt,731.34,731.34,739.534300,10,0.01,13,TIME_LIMIT
rc_206.4.txt,843.77,930.09,843.774200,29440,29.44,19384,TIME_LIMIT
rc_207.1.txt,757.33,860.99,759.995400,26880,26.88,20191,TIME_LIMIT
rc_207.2.txt,732.42,755.73,732.420440,24210,24.21,21302,TIME_LIMIT
rc_207.3.txt,720.96,823.66,720.963000,34730,34.73,27268,TIME_LIMIT
rc_207.4.txt,119.64,214.50,119.638800,10,0.01,46,TIME_LIMIT
rc_208.1.txt,871.29,909.32,871.293240,41961,41.96,27570,TIME_LIMIT
rc_208.2.txt,658.05,805.59,658.576000,8504,8.50,8070,TIME_LIMIT
rc_208.3.txt,670.35,815.33,670.350500,26671,26.67,18663,TIME_LIMIT
