Dataset,Distance,Makespan,Beam-ACO(Makespan)?,Fitness,Time_ms,TimeLimit_s,Iterations,StopReason
rc_201.1.txt,465.78,592.06,592.06?,465.7841,10,0.01,16,TIME_LIMIT
rc_201.2.txt,711.54,869.9,860.17?,711.5374,390,0.39,336,TIME_LIMIT
rc_201.3.txt,800.21,854.12,853.71?,800.2051,90,0.09,63,TIME_LIMIT
rc_201.4.txt,793.72,889.18,889.18?,793.7218,21,0.16,20,EARLY_STOP
rc_202.1.txt,807.72,867.22,850.48?,807.7184,950,0.95,675,TIME_LIMIT
rc_202.2.txt,373.23,518.66,338.52?,373.226,10,0.01,18,TIME_LIMIT
rc_202.3.txt,861.25,894.1,894.1?,861.2474,260,0.26,229,TIME_LIMIT
rc_202.4.txt,799.18,856.28,853.71?,799.179,1181,1.18,1060,TIME_LIMIT
rc_203.1.txt,501.8,660.98,488.42?,501.7974,10,0.01,16,TIME_LIMIT
rc_203.2.txt,781.67,853.71,853.71?,782.5982,2606,4.05,1889,EARLY_STOP
rc_203.3.txt,819.19,951.25,921.54?,824.715,20470,20.47,12621,TIME_LIMIT
rc_203.4.txt,426.3,596.19,338.52?,426.3046,10,0.01,13,TIME_LIMIT
rc_204.1.txt,1005.37,1005.56,925.12?,2071.45887,24817,24.79,9630,TIME_LIMIT
rc_204.2.txt,742.71,860.59,691.58?,742.70944,22460,22.46,14730,TIME_LIMIT
rc_204.3.txt,466.3,694.25,456.19?,466.2986,19151,19.15,20070,TIME_LIMIT
rc_205.1.txt,376.94,417.81,417.81?,387.5311,0,0.03,0,EARLY_STOP
rc_205.2.txt,811.36,820.19,820.19?,960.7219,68,3.44,62,EARLY_STOP
rc_205.3.txt,933.98,969.35,950.05?,1031.3326,130,0.13,94,TIME_LIMIT
rc_205.4.txt,734.4,867.13,837.71?,754.0962,1700,1.7,1468,TIME_LIMIT
rc_206.1.txt,117.85,117.85,117.85?,117.8479,1,0.01,0,EARLY_STOP
rc_206.2.txt,820.19,891.02,879.17?,827.0618,14224,14.22,8880,TIME_LIMIT
rc_206.3.txt,632.07,697.44,650.59?,632.0667,10,0.01,10,TIME_LIMIT
rc_206.4.txt,835.6,930.09,920.18?,835.6034,29440,29.44,16957,TIME_LIMIT
rc_207.1.txt,757.33,860.99,820.23?,759.9954,26889,26.88,17010,TIME_LIMIT
rc_207.2.txt,705.47,739.77,720.78?,705.46624,24213,24.21,17670,TIME_LIMIT
rc_207.3.txt,687.28,805.27,757.8?,687.2834,34730,34.73,22313,TIME_LIMIT
rc_207.4.txt,119.64,133.14,133.14?,119.6388,10,0.01,46,TIME_LIMIT
rc_208.1.txt,862.78,862.78,820.88?,864.19662,41960,41.96,24117,TIME_LIMIT
rc_208.2.txt,560.9,641.95,581.32?,560.8984,8500,8.5,6932,TIME_LIMIT
rc_208.3.txt,654.72,856.89,691.66?,655.7033,26671,26.67,18030,TIME_LIMIT
