Dataset,Distance,Makespan,Beam-ACO(Makespan)?,Fitness,Time_ms,TimeLimit_s,Iterations,StopReason,,
rc_201.1.txt,455.43,592.06,592.06 ,455.4349,10,0.01,8,TIME_LIMIT,,0.00 
rc_201.2.txt,711.54,869.9,860.17 ,711.5374,390,0.39,176,TIME_LIMIT,,9.73 
rc_201.3.txt,809.44,854.12,853.71 ,809.439,90,0.09,34,TIME_LIMIT,,0.41 
rc_201.4.txt,803.54,889.18,889.18 ,803.5449,14,0.16,7,EARLY_STOP,,0.00 
rc_202.1.txt,807.72,867.22,850.48 ,807.7184,950,0.95,342,TIME_LIMIT,,16.74 
rc_202.2.txt,372.52,517.96,338.52 ,372.5244,10,0.01,10,TIME_LIMIT,,179.44 
rc_202.3.txt,884.19,988.86,894.10 ,1907.7232,260,0.26,109,TIME_LIMIT,,94.76 
rc_202.4.txt,838.4,853.71,853.71 ,1388.853,24,1.18,11,EARLY_STOP,,0.00 
rc_203.1.txt,503.14,657.09,488.42 ,503.1436,10,0.01,8,TIME_LIMIT,,168.67 
rc_203.2.txt,820.28,853.71,853.71 ,820.5524,3270,4.05,1229,EARLY_STOP,,0.00 
rc_203.3.txt,822.6,954.35,921.54 ,828.1241,20472,20.47,6951,TIME_LIMIT,,32.81 
rc_203.4.txt,463.48,633.37,338.52 ,463.4817,11,0.01,9,TIME_LIMIT,,294.85 
rc_204.1.txt,1012.31,1012.31,925.12 ,2784.6536,24790,24.79,6475,TIME_LIMIT,,87.19 
rc_204.2.txt,701.91,810.94,691.58 ,701.91154,22460,22.46,8579,TIME_LIMIT,,119.36 
rc_204.3.txt,466.3,694.25,456.19 ,466.2986,19151,19.15,10507,TIME_LIMIT,,238.06 
rc_205.1.txt,357.44,417.81,417.81 ,360.315,1,0.03,0,EARLY_STOP,,0.00 
rc_205.2.txt,799.69,820.19,820.19 ,1434.9923,16,3.44,8,EARLY_STOP,,0.00 
rc_205.3.txt,959.43,962.23,950.05 ,969.8988,132,0.13,48,TIME_LIMIT,,12.18 
rc_205.4.txt,734.4,867.13,837.71 ,754.0962,1700,1.7,768,TIME_LIMIT,,29.42 
rc_206.1.txt,117.85,117.85,117.85 ,117.8479,1,0.01,0,EARLY_STOP,,0.00 
rc_206.2.txt,922.89,936.66,879.17 ,932.2102,14220,14.22,4641,TIME_LIMIT,,57.49 
rc_206.3.txt,768.72,768.72,650.59 ,768.7173,10,0.01,6,TIME_LIMIT,,118.13 
rc_206.4.txt,936.98,963.75,920.18 ,953.7834,29442,29.44,9168,TIME_LIMIT,,43.57 
rc_207.1.txt,758.1,857.45,820.23 ,760.7654,26880,26.88,9555,TIME_LIMIT,,37.22 
rc_207.2.txt,726.1,768.19,720.78 ,728.38754,24210,24.21,10171,TIME_LIMIT,,47.41 
rc_207.3.txt,687.28,805.27,757.80 ,687.2834,34733,34.73,13220,TIME_LIMIT,,47.47 
rc_207.4.txt,119.64,214.5,133.14 ,119.6388,10,0.01,20,TIME_LIMIT,,81.36 
rc_208.1.txt,834.98,908.05,820.88 ,836.30004,41965,41.96,13560,TIME_LIMIT,,87.17 
rc_208.2.txt,594.15,640.36,581.32 ,594.1474,8500,8.5,3840,TIME_LIMIT,,59.04 
rc_208.3.txt,663.18,747.85,691.66 ,663.1845,26670,26.67,9320,TIME_LIMIT,,56.19 
