Dataset,Distance,Makespan,Beam-ACO(Makespan)?,Fitness,Time_ms,TimeLimit_s,Iterations,StopReason
rc_201.1.txt,469,592,592.06?,468.5554,10,0.01,31,TIME_LIMIT
rc_201.2.txt,713,870,860.17?,712.9058,390,0.39,687,TIME_LIMIT
rc_201.3.txt,829,865,853.71?,942.0672,90,0.09,141,TIME_LIMIT
rc_201.4.txt,837,899,889.18?,836.9363,160,0.16,311,TIME_LIMIT
rc_202.1.txt,852,951,850.48?,911.6439,950,0.95,1509,TIME_LIMIT
rc_202.2.txt,373,518,338.52?,372.5244,10,0.01,42,TIME_LIMIT
rc_202.3.txt,939,991,894.1?,2037.7917,260,0.26,457,TIME_LIMIT
rc_202.4.txt,850,854,853.71?,1334.7595,12,1.18,17,EARLY_STOP
rc_203.1.txt,561,685,488.42?,560.973,10,0.01,25,TIME_LIMIT
rc_203.2.txt,940,1141,853.71?,12365.0594,4050,4.05,6224,TIME_LIMIT
rc_203.3.txt,948,948,921.54?,7761.9698,20470,20.47,27506,TIME_LIMIT
rc_203.4.txt,426,596,338.52?,426.3046,10,0.01,31,TIME_LIMIT
rc_204.1.txt,1457,1457,925.12?,76536.4342,24790,24.79,27098,TIME_LIMIT
rc_204.2.txt,743,905,691.58?,743.44774,22460,22.46,35115,TIME_LIMIT
rc_204.3.txt,495,787,456.19?,495.0609,19150,19.15,41927,TIME_LIMIT
rc_205.1.txt,401,512,417.81?,401.3535,30,0.03,123,TIME_LIMIT
rc_205.2.txt,822,822,820.19?,1090.255,3440,3.44,6950,TIME_LIMIT
rc_205.3.txt,1054,1057,950.05?,4803.8376,130,0.13,194,TIME_LIMIT
rc_205.4.txt,838,884,837.71?,912.0259,1700,1.7,3200,TIME_LIMIT
rc_206.1.txt,118,118,117.85?,117.8479,0,0.01,0,EARLY_STOP
rc_206.2.txt,889,902,879.17?,888.6538,14220,14.22,19955,TIME_LIMIT
rc_206.3.txt,751,751,650.59?,750.6676,10,0.01,25,TIME_LIMIT
rc_206.4.txt,896,960,920.18?,1952.8933,29440,29.44,40320,TIME_LIMIT
rc_207.1.txt,809,854,820.23?,809.3526,26880,26.88,42013,TIME_LIMIT
rc_207.2.txt,736,771,720.78?,735.79004,24210,24.21,40293,TIME_LIMIT
rc_207.3.txt,891,900,757.8?,931.3719,34730,34.73,52492,TIME_LIMIT
rc_207.4.txt,120,214,133.14?,119.6388,10,0.01,93,TIME_LIMIT
rc_208.1.txt,976,976,820.88?,4462.7933,41960,41.96,56186,TIME_LIMIT
rc_208.2.txt,600,711,581.32?,600.4012,8500,8.5,15399,TIME_LIMIT
rc_208.3.txt,715,772,691.66?,715.0741,26670,26.67,37202,TIME_LIMIT
