Dataset,Dimension,TimeLimit_s,TargetMakespan,Algorithm,Distance,Makespan,Fitness,Time_ms,Iterations,BeamExec,BeamImprove,Gap_percent
rc_201.1,20,120.00,592.06,SMA-Beam,589.53,592.06,592.06,91067.00,100000,5000,0,0.00
rc_201.2,26,120.00,860.17,SMA-Beam,766.22,860.17,860.17,120003.00,63202,4213,1,0.00
rc_201.3,32,120.00,853.71,SMA-Beam,841.67,853.71,853.71,120043.00,43410,2894,0,-0.00
rc_201.4,26,120.00,889.18,SMA-Beam,835.47,889.18,889.18,120002.00,61908,4127,2,-0.00
rc_202.1,33,120.00,850.48,SMA-Beam,856.25,859.07,859.07,120009.00,45126,3008,11,1.01
rc_202.2,14,120.00,338.52,SMA-Beam,327.01,338.52,338.52,117839.00,100000,5000,2,-0.00
rc_202.3,29,120.00,894.10,SMA-Beam,886.25,894.10,894.10,120034.00,47777,3185,3,0.00
rc_202.4,28,120.00,853.71,SMA-Beam,844.20,853.71,853.71,120040.00,57507,3833,6,-0.00
rc_203.1,19,120.00,488.42,SMA-Beam,457.41,488.42,488.42,120012.00,83200,4160,6,0.00
rc_203.2,33,120.00,853.71,SMA-Beam,960.58,976.44,1305.23,120024.00,39143,2609,12,14.38
rc_203.3,37,120.00,921.54,SMA-Beam,958.09,958.09,3381.35,120009.00,33513,2234,6,3.97
rc_203.4,15,120.00,338.52,SMA-Beam,338.13,338.52,338.52,120036.00,91414,4570,1,-0.00
rc_204.1,46,120.00,925.12,SMA-Beam,1457.47,1457.47,76536.43,120004.00,21010,2101,0,57.54
rc_204.2,33,120.00,691.58,SMA-Beam,734.85,734.85,734.85,120070.00,39168,2611,19,6.26
rc_204.3,24,120.00,456.19,SMA-Beam,500.95,501.00,501.00,120080.00,58950,2947,7,9.82
rc_205.1,14,120.00,417.81,SMA-Beam,382.91,417.81,417.81,120014.00,95117,4755,0,-0.00
rc_205.2,27,120.00,820.19,SMA-Beam,788.74,820.19,820.19,120024.00,50271,3351,0,-0.00
rc_205.3,35,120.00,950.05,SMA-Beam,942.30,950.05,950.05,120005.00,39048,2603,3,0.00
rc_205.4,28,120.00,837.71,SMA-Beam,804.45,837.71,837.71,120002.00,69186,4612,0,-0.00
rc_206.1,4,120.00,117.85,SMA-Beam,117.85,117.85,117.85,34440.00,100000,5000,0,-0.00
rc_206.2,37,120.00,879.17,SMA-Beam,875.74,905.19,905.19,120036.00,52650,3510,4,2.96
rc_206.3,25,120.00,650.59,SMA-Beam,650.03,650.59,650.59,120004.00,80231,4011,0,0.00
rc_206.4,38,120.00,920.18,SMA-Beam,889.38,911.98,911.98,120002.00,34856,2323,1,-0.89
rc_207.1,34,120.00,820.23,SMA-Beam,802.95,819.68,819.68,120003.00,38213,2547,2,-0.07
rc_207.2,31,120.00,720.78,SMA-Beam,713.70,713.90,713.90,120039.00,42366,2824,9,-0.96
rc_207.3,33,120.00,757.80,SMA-Beam,775.78,781.83,781.83,120005.00,38648,2576,7,3.17
rc_207.4,6,120.00,133.14,SMA-Beam,123.86,133.14,133.14,71719.00,100000,5000,0,0.00
rc_208.1,38,120.00,820.88,SMA-Beam,850.98,850.98,850.98,120005.00,30302,2020,4,3.67
rc_208.2,29,120.00,581.32,SMA-Beam,584.71,585.48,585.48,120055.00,45015,3001,11,0.72
rc_208.3,36,120.00,691.66,SMA-Beam,692.18,692.90,692.90,120053.00,33857,2257,7,0.18
