Dataset,Dimension,TimeLimit_s,TargetMakespan,Algorithm,Distance,Makespan,Fitness,Time_ms,Iterations,BeamExec,BeamImprove,Gap_percent,Feasible
rbg010a.tw,11,1200.00,3840.00,SMA-Beam,707.00,3840.00,3840.00,17.00,0,0,0,0.00,1
rbg016a.tw,17,1200.00,2596.00,SMA-Beam,1016.00,2596.00,2596.00,26.00,0,0,0,0.00,1
rbg016b.tw,17,1200.00,2094.00,SMA-Beam,1473.00,2094.00,2094.00,19.00,0,0,0,0.00,1
rbg017.2.tw,16,1200.00,2351.00,SMA-Beam,991.00,2351.00,2351.00,19.00,0,0,0,0.00,1
rbg017.tw,16,1200.00,2351.00,SMA-Beam,991.00,2351.00,2351.00,20.00,0,0,0,0.00,1
rbg017a.tw,18,1200.00,4296.00,SMA-Beam,4296.00,4296.00,4296.00,100.00,254,1,0,0.00,1
rbg019a.tw,20,1200.00,2694.00,SMA-Beam,1405.00,2694.00,2694.00,19.00,0,0,0,0.00,1
rbg019b.tw,20,1200.00,3840.00,SMA-Beam,1974.00,3840.00,3840.00,32.00,0,0,0,0.00,1
rbg019c.tw,20,1200.00,4536.00,SMA-Beam,4536.00,4536.00,4536.00,164.00,399,2,0,0.00,1
rbg019d.tw,20,1200.00,3479.00,SMA-Beam,1385.00,3479.00,3479.00,26.00,0,0,0,0.00,1
rbg020a.tw,21,1200.00,4689.00,SMA-Beam,4689.00,4689.00,4689.00,440.00,1199,6,0,0.00,1
rbg021.2.tw,20,1200.00,4528.00,SMA-Beam,4543.00,4543.00,4543.00,1200024.00,1401330,7006,0,0.33,1
rbg021.3.tw,20,1200.00,4528.00,SMA-Beam,4528.00,4528.00,4528.00,6709.00,9691,48,0,0.00,1
rbg021.4.tw,20,1200.00,4525.00,SMA-Beam,4525.00,4525.00,4525.00,11125.00,17262,86,0,0.00,1
rbg021.5.tw,20,1200.00,4516.00,SMA-Beam,4520.00,4520.00,4520.00,1200003.00,1551056,7755,0,0.09,1
rbg021.6.tw,20,1200.00,4492.00,SMA-Beam,4496.00,4496.00,4496.00,1200014.00,1203216,6016,1,0.09,1
rbg021.7.tw,20,1200.00,4481.00,SMA-Beam,4488.00,4488.00,4488.00,1200002.00,1763172,8815,0,0.16,1
rbg021.8.tw,20,1200.00,4481.00,SMA-Beam,4492.00,4492.00,4492.00,1200006.00,1400177,7000,0,0.25,1
rbg021.9.tw,20,1200.00,4481.00,SMA-Beam,4492.00,4492.00,4492.00,1200079.00,1498141,7490,0,0.25,1
rbg021.tw,20,1200.00,4536.00,SMA-Beam,4536.00,4536.00,4536.00,452.00,399,2,0,0.00,1
rbg027a.tw,28,1200.00,5093.00,SMA-Beam,5093.00,5093.00,5093.00,528.00,399,0,0,0.00,1
rbg031a.tw,32,1200.00,3498.00,SMA-Beam,2112.00,3498.00,3498.00,40.00,0,0,0,0.00,1
rbg033a.tw,34,1200.00,3757.00,SMA-Beam,2208.00,3757.00,3757.00,32.00,0,0,0,0.00,1
rbg034a.tw,35,1200.00,3314.00,SMA-Beam,2552.00,3314.00,3314.00,40.00,0,0,0,0.00,1
rbg035a.2.tw,36,1200.00,3325.00,SMA-Beam,2238.00,3325.00,3325.00,47.00,0,0,0,0.00,1
rbg035a.tw,36,1200.00,3388.00,SMA-Beam,2304.00,3388.00,3388.00,39.00,0,0,0,0.00,1
rbg038a.tw,39,1200.00,5699.00,SMA-Beam,2688.00,5699.00,5699.00,28.00,0,0,0,0.00,1
rbg040a.tw,41,1200.00,5679.00,SMA-Beam,2747.00,5679.00,5679.00,33.00,0,0,0,0.00,1
rbg041a.tw,42,1200.00,3793.00,SMA-Beam,2967.00,3793.00,3793.00,34.00,0,0,0,0.00,1
rbg042a.tw,43,1200.00,3260.00,SMA-Beam,3120.00,3261.00,3261.00,1200006.00,562548,562,0,0.03,1
rbg048a.tw,49,1200.00,9799.00,SMA-Beam,9749.00,9799.00,9799.00,851.00,399,0,0,0.00,1
rbg049a.tw,50,1200.00,13257.00,SMA-Beam,10295.00,13257.00,13257.00,10116.00,3599,3,0,0.00,1
rbg050a.tw,51,1200.00,12050.00,SMA-Beam,3299.00,12050.00,12050.00,50.00,0,0,0,0.00,1
rbg050b.tw,51,1200.00,11957.00,SMA-Beam,9986.00,11961.00,11961.00,1200017.00,513745,513,0,0.03,1
rbg050c.tw,51,1200.00,10985.00,SMA-Beam,10297.00,10985.00,10985.00,26645.00,10599,10,0,0.00,1
rbg055a.tw,56,1200.00,6929.00,SMA-Beam,4126.00,6929.00,6929.00,54.00,0,0,0,0.00,1
rbg067a.tw,68,1200.00,10331.00,SMA-Beam,4784.00,10331.00,10331.00,31.00,0,0,0,0.00,1
