Dataset,Dimension,TimeLimit_s,TargetMakespan,Algorithm,Distance,Makespan,Fitness,Time_ms,Iterations,BeamExec,BeamImprove,Gap_percent,Feasible
n100w100.001.txt,101,1200.00,787.00,SMA-Beam,753.00,787.00,787.00,5940.00,1999,2,0,0.00,1
n100w100.002.txt,101,1200.00,780.00,SMA-Beam,740.00,780.00,780.00,6519.00,1999,2,0,0.00,1
n100w100.003.txt,101,1200.00,819.00,SMA-Beam,807.00,842.00,842.00,1200005.00,441541,441,0,2.81,1
n100w100.004.txt,101,1200.00,844.00,SMA-Beam,812.00,844.00,844.00,10502.00,2999,3,0,0.00,1
n100w100.005.txt,101,1200.00,749.00,SMA-Beam,710.00,756.00,756.00,1200003.00,448408,448,0,0.93,1
n100w120.001.txt,101,1200.00,882.00,SMA-Beam,872.00,882.00,882.00,33.00,0,0,0,0.00,1
n100w120.002.txt,101,1200.00,893.00,SMA-Beam,733.00,893.00,893.00,30.00,0,0,0,0.00,1
n100w120.003.txt,101,1200.00,909.00,SMA-Beam,817.00,909.00,909.00,34.00,0,0,0,0.00,1
n100w120.004.txt,101,1200.00,923.00,SMA-Beam,899.00,923.00,923.00,31.00,0,0,0,0.00,1
n100w120.005.txt,101,1200.00,870.00,SMA-Beam,726.00,870.00,870.00,33.00,0,0,0,0.00,1
n100w140.001.txt,101,1200.00,1008.00,SMA-Beam,762.00,1008.00,1008.00,1284.00,399,0,0,0.00,1
n100w140.002.txt,101,1200.00,1021.00,SMA-Beam,735.00,1021.00,1021.00,603.00,199,0,0,0.00,1
n100w140.003.txt,101,1200.00,844.00,SMA-Beam,605.00,844.00,844.00,31.00,0,0,0,0.00,1
n100w140.004.txt,101,1200.00,854.00,SMA-Beam,624.00,854.00,854.00,38.00,0,0,0,0.00,1
n100w140.005.txt,101,1200.00,805.00,SMA-Beam,657.00,805.00,805.00,624.00,199,0,0,0.00,1
n100w160.001.txt,101,1200.00,868.00,SMA-Beam,849.00,868.00,868.00,452055.00,170999,171,0,0.00,1
n100w160.002.txt,101,1200.00,791.00,SMA-Beam,709.00,791.00,791.00,2341.00,799,0,0,0.00,1
n100w160.003.txt,101,1200.00,935.00,SMA-Beam,569.00,935.00,935.00,49.00,0,0,0,0.00,1
n100w160.004.txt,101,1200.00,814.00,SMA-Beam,685.00,814.00,814.00,1978.00,599,0,0,0.00,1
n100w160.005.txt,101,1200.00,917.00,SMA-Beam,765.00,917.00,917.00,630.00,199,0,0,0.00,1
n100w80.001.txt,101,1200.00,797.00,SMA-Beam,732.00,797.00,797.00,13328.00,4799,4,0,0.00,1
n100w80.002.txt,101,1200.00,790.00,SMA-Beam,760.00,790.00,790.00,7039.00,2199,2,0,0.00,1
n100w80.003.txt,101,1200.00,829.00,SMA-Beam,766.00,829.00,829.00,8472.00,2999,3,0,0.00,1
n100w80.004.txt,101,1200.00,854.00,SMA-Beam,788.00,854.00,854.00,5078.00,1599,1,0,0.00,1
n100w80.005.txt,101,1200.00,759.00,SMA-Beam,712.00,759.00,759.00,6392.00,1999,2,0,0.00,1
n20w120.001.txt,21,1200.00,337.00,SMA-Beam,339.00,345.00,345.00,1200004.00,3369875,16849,0,2.37,1
