Dataset,Dimension,TimeLimit_s,TargetMakespan,Algorithm,Distance,Makespan,Fitness,Time_ms,Iterations,BeamExec,BeamImprove,Gap_percent,Feasible
N20ft301.dat,20,1200.00,661.60,SMA-Beam,661.60,661.60,661.60,14.00,0,0,0,0.00,1
N20ft302.dat,20,1200.00,703.00,SMA-Beam,684.20,703.00,703.00,81.00,148,0,0,0.00,1
N20ft303.dat,20,1200.00,746.40,SMA-Beam,746.40,746.40,746.40,11.00,0,0,0,0.00,1
N20ft304.dat,20,1200.00,817.00,SMA-Beam,817.00,817.00,817.00,17.00,0,0,0,0.00,1
N20ft305.dat,20,1200.00,724.70,SMA-Beam,716.50,724.70,724.70,13.00,0,0,0,0.00,1
N20ft306.dat,20,1200.00,729.50,SMA-Beam,727.80,729.50,729.50,86.00,199,1,0,0.00,1
N20ft307.dat,20,1200.00,691.80,SMA-Beam,691.80,691.80,691.80,297.00,739,3,0,-0.00,1
N20ft308.dat,20,1200.00,788.20,SMA-Beam,788.20,788.20,788.20,0.00,0,0,0,-0.00,1
N20ft309.dat,20,1200.00,751.80,SMA-Beam,740.50,751.80,751.80,16.00,0,0,0,0.00,1
N20ft310.dat,20,1200.00,693.80,SMA-Beam,683.00,693.80,693.80,57.00,89,0,0,0.00,1
N20ft401.dat,20,1200.00,660.90,SMA-Beam,660.80,660.90,660.90,94.00,199,1,0,0.00,1
N20ft402.dat,20,1200.00,701.00,SMA-Beam,684.20,701.00,701.00,22.00,0,0,0,0.00,1
N20ft403.dat,20,1200.00,746.40,SMA-Beam,746.40,746.40,746.40,21.00,0,0,0,0.00,1
N20ft404.dat,20,1200.00,817.00,SMA-Beam,817.00,817.00,817.00,32.00,0,0,0,0.00,1
N20ft405.dat,20,1200.00,724.70,SMA-Beam,716.50,724.70,724.70,17.00,0,0,0,0.00,1
N20ft406.dat,20,1200.00,728.50,SMA-Beam,727.80,728.50,728.50,91.00,199,1,0,0.00,1
N20ft407.dat,20,1200.00,691.80,SMA-Beam,691.80,691.80,691.80,108.00,199,1,0,-0.00,1
N20ft408.dat,20,1200.00,786.10,SMA-Beam,757.30,786.10,786.10,503.00,1399,7,0,0.00,1
N20ft409.dat,20,1200.00,749.80,SMA-Beam,740.50,749.80,749.80,20.00,0,0,0,0.00,1
N20ft410.dat,20,1200.00,693.80,SMA-Beam,691.10,693.80,693.80,203.00,459,2,0,0.00,1
N40ft201.dat,40,1200.00,1109.30,SMA-Beam,1100.60,1109.30,1109.30,187.00,199,0,0,-0.00,1
N40ft202.dat,40,1200.00,1017.40,SMA-Beam,1010.40,1017.40,1017.40,24.00,0,0,0,0.00,1
N40ft203.dat,40,1200.00,903.10,SMA-Beam,893.10,903.10,903.10,157.00,199,0,0,0.00,1
N40ft204.dat,40,1200.00,897.40,SMA-Beam,885.80,897.40,897.40,169.00,199,0,0,0.00,1
N40ft205.dat,40,1200.00,983.60,SMA-Beam,948.00,983.60,983.60,180.00,199,0,0,0.00,1
N40ft206.dat,40,1200.00,1081.90,SMA-Beam,1055.80,1081.90,1081.90,25.00,0,0,0,0.00,1
N40ft207.dat,40,1200.00,884.90,SMA-Beam,867.50,884.90,884.90,192.00,199,0,0,-0.00,1
N40ft208.dat,40,1200.00,1051.60,SMA-Beam,1050.70,1051.60,1051.60,1736.00,2199,4,0,0.00,1
N40ft209.dat,40,1200.00,1027.50,SMA-Beam,1013.90,1027.50,1027.50,183.00,199,0,0,0.00,1
N40ft210.dat,40,1200.00,1035.30,SMA-Beam,1026.30,1035.30,1035.30,0.00,0,0,0,0.00,1
N40ft401.dat,40,1200.00,1105.20,SMA-Beam,1093.60,1105.20,1105.20,26828.00,36014,72,0,0.00,1
N40ft402.dat,40,1200.00,1016.40,SMA-Beam,995.60,1016.40,1016.40,1527.00,1999,4,0,0.00,1
N40ft403.dat,40,1200.00,903.10,SMA-Beam,859.40,903.10,903.10,1236.00,1599,3,0,0.00,1
N40ft404.dat,40,1200.00,897.40,SMA-Beam,883.70,897.40,897.40,1914.00,2399,4,0,0.00,1
N40ft405.dat,40,1200.00,982.60,SMA-Beam,978.40,982.60,982.60,180.00,199,0,0,0.00,1
N40ft406.dat,40,1200.00,1081.90,SMA-Beam,986.90,1081.90,1081.90,652.00,799,1,0,0.00,1
N40ft407.dat,40,1200.00,872.20,SMA-Beam,831.80,872.20,872.20,1452.00,1799,3,0,-0.00,1
N40ft408.dat,40,1200.00,1043.50,SMA-Beam,1009.10,1043.50,1043.50,649.00,799,1,0,0.00,1
N40ft409.dat,40,1200.00,1025.50,SMA-Beam,1011.20,1025.50,1025.50,149.00,199,0,0,0.00,1
N40ft410.dat,40,1200.00,1034.30,SMA-Beam,1018.00,1034.30,1034.30,21.00,0,0,0,0.00,1
N60ft201.dat,60,1200.00,1375.40,SMA-Beam,1367.20,1375.40,1375.40,2802.00,2199,2,0,0.00,1
N60ft202.dat,60,1200.00,1186.40,SMA-Beam,1161.60,1186.40,1186.40,5899.00,4799,4,0,0.00,1
N60ft203.dat,60,1200.00,1194.20,SMA-Beam,1182.90,1194.20,1194.20,3777.00,2999,3,0,0.00,1
N60ft204.dat,60,1200.00,1283.60,SMA-Beam,1283.00,1283.60,1283.60,257.00,199,0,0,0.00,1
N60ft205.dat,60,1200.00,1215.50,SMA-Beam,1187.10,1215.50,1215.50,2542.00,1999,2,0,0.00,1
N60ft206.dat,60,1200.00,1238.80,SMA-Beam,1223.90,1238.80,1238.80,279.00,199,0,0,0.00,1
N60ft207.dat,60,1200.00,1305.30,SMA-Beam,1301.60,1305.30,1305.30,5126.00,3999,4,0,0.00,1
N60ft208.dat,60,1200.00,1172.60,SMA-Beam,1171.10,1172.60,1172.60,20.00,0,0,0,0.00,1
N60ft209.dat,60,1200.00,1243.80,SMA-Beam,1196.60,1243.80,1243.80,3076.00,2399,2,0,0.00,1
N60ft210.dat,60,1200.00,1273.20,SMA-Beam,1271.40,1273.20,1273.20,30.00,0,0,0,0.00,1
N60ft301.dat,60,1200.00,1375.40,SMA-Beam,1358.10,1375.40,1375.40,2328.00,1799,1,0,0.00,1
N60ft302.dat,60,1200.00,1184.40,SMA-Beam,1097.70,1184.40,1184.40,1573.00,1199,1,0,-0.00,1
N60ft303.dat,60,1200.00,1194.20,SMA-Beam,1186.30,1194.20,1194.20,5410.00,4199,4,0,0.00,1
N60ft304.dat,60,1200.00,1283.60,SMA-Beam,1252.80,1283.60,1283.60,3364.00,2599,2,0,0.00,1
N60ft305.dat,60,1200.00,1214.50,SMA-Beam,1164.00,1214.50,1214.50,2255.00,1799,1,0,0.00,1
N60ft306.dat,60,1200.00,1237.80,SMA-Beam,1219.40,1237.80,1237.80,21.00,0,0,0,0.00,1
N60ft307.dat,60,1200.00,1298.40,SMA-Beam,1236.80,1298.40,1298.40,190230.00,162999,163,0,-0.00,1
N60ft308.dat,60,1200.00,1168.80,SMA-Beam,1129.90,1168.80,1168.80,2539.00,1999,2,0,0.00,1
N60ft309.dat,60,1200.00,1242.80,SMA-Beam,1161.70,1242.80,1242.80,2319.00,1799,1,0,0.00,1
N60ft310.dat,60,1200.00,1273.20,SMA-Beam,1257.70,1273.20,1273.20,2806.00,2199,2,0,0.00,1
N60ft401.dat,60,1200.00,1375.40,SMA-Beam,1364.90,1375.40,1375.40,3121.00,2399,2,0,0.00,1
N60ft402.dat,60,1200.00,1183.40,SMA-Beam,1105.20,1183.40,1183.40,3373.00,2599,2,0,-0.00,1
N60ft403.dat,60,1200.00,1194.20,SMA-Beam,1179.70,1194.20,1194.20,6004.00,4799,4,0,0.00,1
N60ft404.dat,60,1200.00,1283.60,SMA-Beam,1245.70,1283.60,1283.60,3405.00,2599,2,0,0.00,1
N60ft405.dat,60,1200.00,1212.50,SMA-Beam,1153.50,1212.50,1212.50,2857.00,2199,2,0,0.00,1
N60ft406.dat,60,1200.00,1236.80,SMA-Beam,1174.00,1236.80,1236.80,3381.00,2599,2,0,0.00,1
N60ft407.dat,60,1200.00,1296.40,SMA-Beam,1223.50,1296.40,1296.40,3564.00,2799,2,0,-0.00,1
N60ft408.dat,60,1200.00,1150.00,SMA-Beam,1056.10,1150.00,1150.00,2552.00,1999,2,0,0.00,1
