Dataset,Dimension,TimeLimit_s,TargetMakespan,Algorithm,Distance,Makespan,Fitness,Time_ms,Iterations,BeamExec,BeamImprove,Gap_percent,Feasible
n150w120.001.txt,151,1200.00,972.00,SMA-Beam,863.00,998.00,998.00,1200003.00,313702,313,0,2.67,1
n150w120.002.txt,151,1200.00,917.00,SMA-Beam,808.00,917.00,917.00,28025.00,7999,8,0,0.00,1
n150w120.003.txt,151,1200.00,909.00,SMA-Beam,905.00,922.00,922.00,1200004.00,288320,288,0,1.43,1
n150w120.004.txt,151,1200.00,925.00,SMA-Beam,877.00,925.00,925.00,36899.00,5199,5,0,0.00,1
n150w120.005.txt,151,1200.00,907.00,SMA-Beam,836.00,907.00,907.00,2749.00,599,0,0,0.00,1
n150w140.001.txt,151,1200.00,1008.00,SMA-Beam,940.00,1008.00,1008.00,4781.00,999,1,0,0.00,1
n150w140.002.txt,151,1200.00,1020.00,SMA-Beam,938.00,1021.00,1021.00,1200006.00,153510,153,0,0.10,1
n150w140.003.txt,151,1200.00,844.00,SMA-Beam,827.00,845.00,845.00,1200016.00,132312,132,0,0.12,1
n150w140.004.txt,151,1200.00,898.00,SMA-Beam,882.00,898.00,898.00,185241.00,10399,10,0,0.00,1
n150w140.005.txt,151,1200.00,926.00,SMA-Beam,852.00,926.00,926.00,9878.00,399,0,0,0.00,1
n150w160.001.txt,151,1200.00,959.00,SMA-Beam,839.00,959.00,959.00,82443.00,5199,5,0,0.00,1
n150w160.002.txt,151,1200.00,890.00,SMA-Beam,884.00,900.00,900.00,1200003.00,105521,105,0,1.12,1
n150w160.003.txt,151,1200.00,934.00,SMA-Beam,818.00,938.00,938.00,1200005.00,120441,120,0,0.43,1
n150w160.004.txt,151,1200.00,912.00,SMA-Beam,875.00,912.00,912.00,12687.00,2399,2,0,0.00,1
n150w160.005.txt,151,1200.00,920.00,SMA-Beam,873.00,966.00,966.00,1200004.00,266070,266,0,5.00,1
n200w120.001.txt,201,1200.00,1089.00,SMA-Beam,1086.00,1091.00,1091.00,1200240.00,153800,153,0,0.18,1
n200w120.002.txt,201,1200.00,1072.00,SMA-Beam,862.00,1072.00,1072.00,75.00,0,0,0,0.00,1
n200w120.003.txt,201,1200.00,1128.00,SMA-Beam,1053.00,1129.00,1129.00,1200004.00,147021,147,0,0.09,1
n200w120.004.txt,201,1200.00,1072.00,SMA-Beam,1026.00,1072.00,1072.00,46894.00,4799,4,0,0.00,1
n200w120.005.txt,201,1200.00,1073.00,SMA-Beam,1032.00,1073.00,1073.00,83225.00,9799,9,0,0.00,1
n200w140.001.txt,201,1200.00,1138.00,SMA-Beam,1092.00,1146.00,1146.00,1200005.00,160252,160,0,0.70,1
n200w140.002.txt,201,1200.00,1087.00,SMA-Beam,1020.00,1087.00,1087.00,151134.00,15399,15,0,0.00,1
n200w140.003.txt,201,1200.00,1083.00,SMA-Beam,1078.00,1084.00,1084.00,1200005.00,154080,154,0,0.09,1
n200w140.004.txt,201,1200.00,1100.00,SMA-Beam,1073.00,1100.00,1100.00,14435.00,1399,1,0,0.00,1
n200w140.005.txt,201,1200.00,1121.00,SMA-Beam,1083.00,1121.00,1121.00,119348.00,13799,13,0,0.00,1
