Dataset,Dimension,TimeLimit_s,TargetMakespan,Algorithm,Distance,Makespan,Fitness,Time_ms,Iterations,BeamExec,BeamImprove,Gap_percent,Feasible
rc201.0,26,1200.00,853.71,SMA-Beam,726.33,853.71,853.71,612.00,1199,2,0,-0.00,1
rc201.1,29,1200.00,850.48,SMA-Beam,823.87,850.48,850.48,1200007.00,1220312,2440,0,0.00,1
rc201.2,29,1200.00,883.97,SMA-Beam,855.00,883.97,883.97,1218.00,999,2,0,-0.00,1
rc201.3,20,1200.00,722.43,SMA-Beam,537.63,722.43,722.43,1200003.00,3161827,15809,0,0.00,1
rc202.0,26,1200.00,850.48,SMA-Beam,525.40,850.48,850.48,1200003.00,2338810,4677,0,0.00,1
rc202.1,23,1200.00,702.28,SMA-Beam,531.80,702.28,702.28,1200003.00,2718590,13592,0,0.00,1
rc202.2,28,1200.00,853.71,SMA-Beam,764.16,853.71,853.71,584.00,799,1,0,-0.00,1
rc202.3,27,1200.00,883.97,SMA-Beam,755.01,883.97,883.97,407.00,599,1,0,-0.00,1
rc203.0,36,1200.00,870.52,SMA-Beam,869.25,870.52,870.52,1200145.00,969841,1939,0,0.00,1
rc203.1,38,1200.00,850.48,SMA-Beam,843.73,850.48,850.48,1200100.00,644334,1288,0,0.00,1
rc203.2,29,1200.00,853.71,SMA-Beam,813.47,853.71,853.71,1278.00,799,1,0,-0.00,1
rc204.0,33,1200.00,839.24,SMA-Beam,615.88,839.24,839.24,50.00,0,0,0,-0.00,1
rc204.1,29,1200.00,492.60,SMA-Beam,498.54,498.54,498.54,1200103.00,871215,1742,0,1.21,1
rc204.2,41,1200.00,870.52,SMA-Beam,1002.61,1002.78,1528249.78,1200009.00,573561,573,0,15.19,0
rc205.0,27,1200.00,834.62,SMA-Beam,702.25,834.62,834.62,551.00,301,0,0,-0.00,1
rc205.1,23,1200.00,899.24,SMA-Beam,666.40,899.24,899.24,32.00,0,0,0,-0.00,1
rc205.2,29,1200.00,908.79,SMA-Beam,815.81,908.79,908.79,3475.00,2504,5,0,-0.00,1
rc205.3,25,1200.00,684.21,SMA-Beam,698.77,699.94,699.94,1200002.00,1172610,5863,0,2.30,1
rc206.0,36,1200.00,893.21,SMA-Beam,890.68,893.21,893.21,1200010.00,707689,1415,0,0.00,1
rc206.1,34,1200.00,756.45,SMA-Beam,737.62,771.05,771.05,1200019.00,793129,1586,0,1.93,1
rc206.2,33,1200.00,776.19,SMA-Beam,709.78,786.19,786.19,1200002.00,1169365,2338,0,1.29,1
rc207.0,38,1200.00,847.63,SMA-Beam,951.91,951.91,951.91,1200080.00,685432,1370,1,12.30,1
rc207.1,34,1200.00,785.37,SMA-Beam,803.90,817.84,817.84,1200072.00,676601,1353,0,4.13,1
rc207.2,31,1200.00,650.80,SMA-Beam,651.89,651.89,651.89,1200076.00,745059,1490,0,0.17,1
rc208.0,45,1200.00,836.04,SMA-Beam,844.46,844.87,844.87,1200042.00,899460,899,0,1.06,1
rc208.1,28,1200.00,615.51,SMA-Beam,611.86,615.56,615.56,1200054.00,932526,1865,4,0.01,1
rc208.2,30,1200.00,596.21,SMA-Beam,624.23,624.89,624.89,1200006.00,907153,1814,0,4.81,1
