Dataset,Dimension,TimeLimit_s,TargetMakespan,Algorithm,Distance,Makespan,Fitness,Time_ms,Iterations,BeamExec,BeamImprove,Gap_percent,Feasible
rc_201.1.txt,20,1200.00,592.06,SMA-Beam,589.53,592.06,592.06,1200002.00,1440990,7204,0,0.00,1
rc_201.2.txt,26,1200.00,860.17,SMA-Beam,754.27,860.17,860.17,1200007.00,1026163,2052,0,0.00,1
rc_201.3.txt,32,1200.00,853.71,SMA-Beam,848.56,853.71,853.71,4480.00,3455,6,0,-0.00,1
rc_201.4.txt,26,1200.00,889.18,SMA-Beam,825.42,889.18,889.18,1011.00,599,1,0,-0.00,1
rc_202.1.txt,33,1200.00,850.48,SMA-Beam,833.76,850.48,850.48,1200022.00,833146,1666,0,0.00,1
rc_202.2.txt,14,1200.00,338.52,SMA-Beam,332.34,338.52,338.52,27.00,0,0,0,-0.00,1
rc_202.3.txt,29,1200.00,894.10,SMA-Beam,874.17,894.10,894.10,1200002.00,860340,1720,0,0.00,1
rc_202.4.txt,28,1200.00,853.71,SMA-Beam,839.43,853.78,853.78,1200002.00,967726,1935,0,0.01,1
rc_203.1.txt,19,1200.00,488.42,SMA-Beam,465.74,488.42,488.42,1200056.00,1447527,7237,0,0.00,1
rc_203.2.txt,33,1200.00,853.71,SMA-Beam,842.60,853.71,853.71,2536.00,1799,3,0,-0.00,1
rc_203.3.txt,37,1200.00,921.44,SMA-Beam,905.37,929.72,929.72,1200107.00,601336,1202,0,0.90,1
rc_203.4.txt,15,1200.00,338.52,SMA-Beam,327.65,338.52,338.52,17.00,0,0,0,-0.00,1
rc_204.1.txt,46,1200.00,917.83,SMA-Beam,927.45,937.40,937.40,1200061.00,496480,496,0,2.13,1
rc_204.2.txt,33,1200.00,690.06,SMA-Beam,685.00,690.06,690.06,237383.00,175725,351,1,-0.00,1
rc_204.3.txt,24,1200.00,455.03,SMA-Beam,455.03,455.03,455.03,1200009.00,1159812,5799,1,0.00,1
rc_205.1.txt,14,1200.00,417.81,SMA-Beam,379.97,417.81,417.81,18.00,8,0,0,-0.00,1
rc_205.2.txt,27,1200.00,820.19,SMA-Beam,791.48,820.19,820.19,2166.00,1399,2,0,-0.00,1
rc_205.3.txt,35,1200.00,950.05,SMA-Beam,946.66,950.05,950.05,1200005.00,765391,1530,0,0.00,1
rc_205.4.txt,28,1200.00,837.71,SMA-Beam,813.19,837.71,837.71,262209.00,186920,373,0,-0.00,1
rc_206.1.txt,4,1200.00,117.85,SMA-Beam,117.85,117.85,117.85,127.00,0,0,0,-0.00,1
rc_206.2.txt,37,1200.00,870.49,SMA-Beam,864.06,883.25,883.25,1200014.00,635600,1271,1,1.47,1
rc_206.3.txt,25,1200.00,650.59,SMA-Beam,627.53,650.59,650.59,1200064.00,1020248,5101,0,0.00,1
rc_206.4.txt,38,1200.00,911.98,SMA-Beam,900.64,923.62,923.62,1200021.00,627470,1254,0,1.28,1
rc_207.1.txt,34,1200.00,804.67,SMA-Beam,806.72,810.01,810.01,1200013.00,676142,1352,0,0.66,1
rc_207.2.txt,31,1200.00,713.90,SMA-Beam,713.54,713.90,713.90,5097.00,2799,5,0,-0.00,1
rc_207.3.txt,33,1200.00,745.77,SMA-Beam,744.31,747.47,747.47,1200086.00,664496,1328,0,0.23,1
rc_207.4.txt,6,1200.00,133.14,SMA-Beam,123.86,133.14,133.14,1200006.00,3014157,15070,0,0.00,1
rc_208.1.txt,38,1200.00,810.70,SMA-Beam,821.17,821.17,821.17,1200056.00,571518,1143,0,1.29,1
rc_208.2.txt,29,1200.00,579.51,SMA-Beam,571.65,581.32,581.32,1200006.00,803782,1607,0,0.31,1
rc_208.3.txt,36,1200.00,686.80,SMA-Beam,722.14,722.14,722.14,1200046.00,576645,1153,0,5.15,1
