Benchmark,Dataset,Dimension,TimeLimit_s,TargetMakespan,Algorithm,Distance,Makespan,Fitness,Time_ms,Iterations,BeamExec,BeamImprove,Gap_percent,Feasible,Time_s_paper,Time_s_paper_ms,Time_diff_percent
AFG,rbg010a.tw,11,1200.0,3840.0,SMA-Beam,707.0,3840.0,3840.0,17.0,0,0,0,0.0,1,0.27,270.0,-93.7037037037037
AFG,rbg016a.tw,17,1200.0,2596.0,SMA-Beam,1016.0,2596.0,2596.0,26.0,0,0,0,0.0,1,0.23,230.0,-88.69565217391305
AFG,rbg016b.tw,17,1200.0,2094.0,SMA-Beam,1473.0,2094.0,2094.0,19.0,0,0,0,0.0,1,0.74,740.0,-97.43243243243244
AFG,rbg017.2.tw,16,1200.0,2351.0,SMA-Beam,991.0,2351.0,2351.0,19.0,0,0,0,0.0,1,2.93,2930.0,-99.35153583617748
AFG,rbg017.tw,16,1200.0,2351.0,SMA-Beam,991.0,2351.0,2351.0,20.0,0,0,0,0.0,1,0.97,970.0,-97.9381443298969
AFG,rbg017a.tw,18,1200.0,4296.0,SMA-Beam,4296.0,4296.0,4296.0,100.0,254,1,0,0.0,1,0.25,250.0,-60.0
AFG,rbg019a.tw,20,1200.0,2694.0,SMA-Beam,1405.0,2694.0,2694.0,19.0,0,0,0,0.0,1,0.2,200.0,-90.5
AFG,rbg019b.tw,20,1200.0,3840.0,SMA-Beam,1974.0,3840.0,3840.0,32.0,0,0,0,0.0,1,4.11,4110.0,-99.22141119221412
AFG,rbg019c.tw,20,1200.0,4536.0,SMA-Beam,4536.0,4536.0,4536.0,164.0,399,2,0,0.0,1,2.72,2720.0,-93.97058823529412
AFG,rbg019d.tw,20,1200.0,3479.0,SMA-Beam,1385.0,3479.0,3479.0,26.0,0,0,0,0.0,1,0.25,250.0,-89.60000000000001
AFG,rbg020a.tw,21,1200.0,4689.0,SMA-Beam,4689.0,4689.0,4689.0,440.0,1199,6,0,0.0,1,0.24,240.0,83.33333333333334
AFG,rbg021.2.tw,20,1200.0,4528.0,SMA-Beam,4543.0,4543.0,4543.0,1200024.0,1401330,7006,0,0.33,1,4.82,4820.0,24796.76348547718
AFG,rbg021.3.tw,20,1200.0,4528.0,SMA-Beam,4528.0,4528.0,4528.0,6709.0,9691,48,0,0.0,1,6.57,6570.0,2.1156773211567734
AFG,rbg021.4.tw,20,1200.0,4525.0,SMA-Beam,4525.0,4525.0,4525.0,11125.0,17262,86,0,0.0,1,6.64,6640.0,67.54518072289156
AFG,rbg021.5.tw,20,1200.0,4516.0,SMA-Beam,4520.0,4520.0,4520.0,1200003.0,1551056,7755,0,0.09,1,6.19,6190.0,19286.15508885299
AFG,rbg021.6.tw,20,1200.0,4492.0,SMA-Beam,4496.0,4496.0,4496.0,1200014.0,1203216,6016,1,0.09,1,15.35,15350.0,7717.680781758958
AFG,rbg021.7.tw,20,1200.0,4481.0,SMA-Beam,4488.0,4488.0,4488.0,1200002.0,1763172,8815,0,0.16,1,89.87,89870.0,1235.2642706131078
AFG,rbg021.8.tw,20,1200.0,4481.0,SMA-Beam,4492.0,4492.0,4492.0,1200006.0,1400177,7000,0,0.25,1,136.81,136810.0,777.1332504933849
AFG,rbg021.9.tw,20,1200.0,4481.0,SMA-Beam,4492.0,4492.0,4492.0,1200079.0,1498141,7490,0,0.25,1,104.94,104940.0,1043.5858585858587
AFG,rbg021.tw,20,1200.0,4536.0,SMA-Beam,4536.0,4536.0,4536.0,452.0,399,2,0,0.0,1,2.91,2910.0,-84.46735395189003
AFG,rbg027a.tw,28,1200.0,5093.0,SMA-Beam,5093.0,5093.0,5093.0,528.0,399,0,0,0.0,1,8.87,8870.0,-94.04735062006765
AFG,rbg031a.tw,32,1200.0,3498.0,SMA-Beam,2112.0,3498.0,3498.0,40.0,0,0,0,0.0,1,5.94,5940.0,-99.32659932659934
AFG,rbg033a.tw,34,1200.0,3757.0,SMA-Beam,2208.0,3757.0,3757.0,32.0,0,0,0,0.0,1,11.43,11430.0,-99.72003499562555
