Dataset,Dimension,TimeLimit_s,TargetMakespan,Algorithm,Distance,Makespan,Fitness,Time_ms,Iterations,BeamExec,BeamImprove,Gap_percent,Feasible
n100w20.001.txt,101,120,827,SMA-Beam,803,827,827,12860,4399,4,0,0,1
n100w20.002.txt,101,120,801,SMA-Beam,747,801,801,12525,4399,4,0,0,1
n100w20.003.txt,101,120,834,SMA-Beam,789,834,834,10414,3599,3,0,0,1
n100w20.004.txt,101,120,828,SMA-Beam,827,828,828,16219,5999,6,0,0,1
n100w20.005.txt,101,120,825,SMA-Beam,799,825,825,12039,4399,4,0,0,1
n100w40.001.txt,101,120,841,SMA-Beam,806,841,841,9362,3399,3,0,0,1
n100w40.002.txt,101,120,786,SMA-Beam,725,786,786,8660,3199,3,0,0,1
n100w40.003.txt,101,120,835,SMA-Beam,824,835,835,5997,2199,2,0,0,1
n100w40.004.txt,101,120,809,SMA-Beam,706,809,809,3142,1199,1,0,0,1
n100w40.005.txt,101,120,834,SMA-Beam,770,834,834,9373,3599,3,0,0,1
n100w60.001.txt,101,120,824,SMA-Beam,752,824,824,6876,2399,2,0,0,1
n100w60.002.txt,101,120,782,SMA-Beam,705,782,782,5109,1799,1,0,0,1
n100w60.003.txt,101,120,856,SMA-Beam,801,856,856,19663,7399,7,0,0,1
n100w60.004.txt,101,120,834,SMA-Beam,798,834,834,5649,1999,2,0,0,1
n100w60.005.txt,101,120,790,SMA-Beam,721,790,790,7853,2999,3,0,0,1
n150w20.001.txt,151,120,1034,SMA-Beam,966,1034,1034,47230,8799,8,0,0,1
n150w20.002.txt,151,120,967,SMA-Beam,911,967,967,39650,7399,7,0,0,1
n150w20.003.txt,151,120,959,SMA-Beam,864,959,959,14566,2599,2,0,0,1
n150w20.004.txt,151,120,975,SMA-Beam,916,975,975,54288,7399,7,0,0,1
n150w20.005.txt,151,120,957,SMA-Beam,876,957,20957,120003,27436,27,0,0,0
n150w40.001.txt,151,120,1058,SMA-Beam,972,1058,1058,35424,9199,9,0,0,1
n150w40.002.txt,151,120,1072,SMA-Beam,1034,1072,1072,30484,7199,7,0,0,1
n150w40.003.txt,151,120,894,SMA-Beam,833,894,10894,120064,29000,29,0,0,0
n150w40.004.txt,151,120,948,SMA-Beam,867,948,948,34381,8799,8,0,0,1
n150w40.005.txt,151,120,980,SMA-Beam,908,980,980,26931,6599,6,0,0,1
n150w60.001.txt,151,120,1024,SMA-Beam,986,1027,1027,120002,27697,27,0,0.29,1
n150w60.002.txt,151,120,940,SMA-Beam,862,940,940,14479,2799,2,0,0,1
n150w60.003.txt,151,120,984,SMA-Beam,891,984,984,52982,10399,10,0,0,1
n150w60.004.txt,151,120,998,SMA-Beam,921,998,998,38755,7599,7,0,0,1
n150w60.005.txt,151,120,997,SMA-Beam,948,997,60997,120003,23817,23,0,0,0
n200w20.001.txt,201,120,1139,SMA-Beam,1096,1139,1139,85268,9999,10,0,0,1
n200w20.002.txt,201,120,1124,SMA-Beam,1068,1124,1124,105304,10799,10,0,0,1
n200w20.003.txt,201,120,1178,SMA-Beam,1116,1178,1178,96652,9999,10,0,0,1
n200w20.004.txt,201,120,1125,SMA-Beam,1049,1125,21125,120309,12000,12,0,0,0
n200w20.005.txt,201,120,1123,SMA-Beam,1082,1123,1123,99773,10999,11,0,0,1
n200w40.001.txt,201,120,1188,SMA-Beam,1135,1188,1188,105968,10599,10,0,0,1
n200w40.002.txt,201,120,1137,SMA-Beam,1070,1137,621137,120003,16042,16,0,0,0
n200w40.003.txt,201,120,1134,SMA-Beam,1066,1134,1134,85519,12199,12,0,0,1
