Dataset,Distance,Makespan,Beam-ACO(Makespan)?,Fitness,Time_ms,TimeLimit_s,Iterations,StopReason
rc_201.1.txt,455,592,592.06?,455.4349,10,0.01,27,TIME_LIMIT
rc_201.2.txt,805,878,860.17?,876.2778,390,0.39,786,TIME_LIMIT
rc_201.3.txt,827,854,853.71?,826.6515,90,0.09,154,TIME_LIMIT
rc_201.4.txt,813,891,889.18?,851.181,160,0.16,337,TIME_LIMIT
rc_202.1.txt,834,936,850.48?,833.9341,950,0.95,1580,TIME_LIMIT
rc_202.2.txt,381,518,338.52?,381.1295,10,0.01,27,TIME_LIMIT
rc_202.3.txt,934,991,894.1?,1263.2763,260,0.26,472,TIME_LIMIT
rc_202.4.txt,844,871,853.71?,911.8359,1180,1.18,2319,TIME_LIMIT
rc_203.1.txt,498,657,488.42?,497.8996,10,0.01,29,TIME_LIMIT
rc_203.2.txt,1088,1122,853.71?,2595.0442,4050,4.05,6747,TIME_LIMIT
rc_203.3.txt,1006,1008,921.54?,4948.5505,20470,20.47,29536,TIME_LIMIT
rc_203.4.txt,408,578,338.52?,407.678,10,0.01,33,TIME_LIMIT
rc_204.1.txt,1457,1457,925.12?,23981.1615,24790,24.79,28518,TIME_LIMIT
rc_204.2.txt,735,864,691.58?,735.0185,22460,22.46,37803,TIME_LIMIT
rc_204.3.txt,512,804,456.19?,512.3569,19150,19.15,46846,TIME_LIMIT
rc_205.1.txt,377,418,417.81?,392.8251,0,0.03,0,EARLY_STOP
rc_205.2.txt,744,842,820.19?,756.6846,3440,3.44,7666,TIME_LIMIT
rc_205.3.txt,945,998,950.05?,1175.349,130,0.13,206,TIME_LIMIT
rc_205.4.txt,837,886,837.71?,867.2474,1700,1.7,3527,TIME_LIMIT
rc_206.1.txt,118,118,117.85?,117.8479,0,0.01,0,EARLY_STOP
rc_206.2.txt,873,910,879.17?,877.1146,14220,14.22,22182,TIME_LIMIT
rc_206.3.txt,778,778,650.59?,840.2166,10,0.01,21,TIME_LIMIT
rc_206.4.txt,940,958,920.18?,1195.8744,29440,29.44,42008,TIME_LIMIT
rc_207.1.txt,818,862,820.23?,817.8112,26880,26.88,45507,TIME_LIMIT
rc_207.2.txt,712,768,720.78?,720.89924,24210,24.21,44611,TIME_LIMIT
rc_207.3.txt,721,803,757.8?,720.9072,34730,34.73,58068,TIME_LIMIT
rc_207.4.txt,120,133,133.14?,119.6388,10,0.01,93,TIME_LIMIT
rc_208.1.txt,967,967,820.88?,1010.8906,41960,41.96,60061,TIME_LIMIT
rc_208.2.txt,679,706,581.32?,678.9383,8500,8.5,16351,TIME_LIMIT
rc_208.3.txt,760,832,691.66?,759.8835,26670,26.67,40336,TIME_LIMIT
